"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","100","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","软件描述为空",""
"passed","Tue Sep 29 17:55:36 CST 2020","Tue Sep 29 17:55:37 CST 2020","98","testCase.SMP.authentication.BlackListController.addblackLists","test_addblackLists","Test_class","","","添加黑名单",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:41 CST 2020","114","testCase.SMP.authentication.OAuthController.getAllSSO","test_getAllSSO","Test_class","","","查询所有SSO对接配置-无配置",""
"passed","Tue Sep 29 17:55:50 CST 2020","Tue Sep 29 17:55:50 CST 2020","153","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件成功",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:47 CST 2020","173","testCase.SMP.authentication.SoftwareController.batchDelSoftwareInfo","test_batchDelSoftware","Test_class","","","批量删除软件-存在有效与无效ID",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","93","testCase.SMP.authentication.BlackListController.editInfoMessage","test_editInfoMessage","Test_class","","","修改提示信息，有到有，修改信息",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:41 CST 2020","145","testCase.SMP.authentication.OAuthController.updateSSO","test_updateSSO","Test_class","","","修改SSO对接配置-enable-",""
"passed","Tue Sep 29 17:55:30 CST 2020","Tue Sep 29 17:55:30 CST 2020","155","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyTag","test_addPolicyTag","Test_class","","","添加策略标签-标签为空",""
"passed","Tue Sep 29 17:55:43 CST 2020","Tue Sep 29 17:55:43 CST 2020","119","testCase.SMP.authentication.RedirectPoliciesController.addwebRedirectPolicies","test_addwebRedirectPolicies","Test_class","","","新增web重定向策略",""
"passed","Tue Sep 29 17:55:31 CST 2020","Tue Sep 29 17:55:31 CST 2020","124","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationPolicy","test_addauthenticationPolicy","Test_class","","","新增认证策略-所有字段都不为空，策略标签有3个值",""
"passed","Tue Sep 29 17:55:46 CST 2020","Tue Sep 29 17:55:46 CST 2020","172","testCase.SMP.authentication.SoftwareController.addsoftware","test_addsoftware","Test_class","","","软件名称版本唯一性校验",""
"passed","Tue Sep 29 17:55:29 CST 2020","Tue Sep 29 17:55:29 CST 2020","145","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAuthType","test_addPolicyAuthType","Test_class","","","添加认证方式-认证方式已存在，添加重复的",""
"passed","Tue Sep 29 17:55:42 CST 2020","Tue Sep 29 17:55:42 CST 2020","166","testCase.SMP.authentication.RedirectPoliciesController.addRule","test_addRule","Test_class","","","添加策略规则-规则标签为3个值",""
"failed","Tue Sep 29 17:55:32 CST 2020","Tue Sep 29 17:55:32 CST 2020","91","testCase.SMP.authentication.AuthenticationPolicyController.addauthenticationRule","test_addauthenticationRule","Test_class","","","添加策略规则-规则名称为空",""
"passed","Tue Sep 29 17:55:42 CST 2020","Tue Sep 29 17:55:42 CST 2020","134","testCase.SMP.authentication.RedirectPoliciesController.addRule","test_addRule","Test_class","","","添加策略规则-规则标签为1个值",""
